date, pm25, pm10, o3, no2, so2, co
2020/10/5, 116, 66, 21, 10, 4, 6
2020/10/6, 123, 63, 21, 10, 7, 11
2020/10/7, 120, 63, 25, 9, 7, 6
2020/10/8, 123, 65, 30, 10, 7, 6
2020/10/9, 124, 72, 19, 14, 7, 6
2020/10/10, 126, 66, 33, 17, 5, 6
2020/10/11, 128, 65, 34, 17, 9, 7
2020/10/12, 127, 56, 34, 16, 11, 8
2020/10/13, 119, 72, 22, 16, 5, 10
2020/10/14, 144, 76, 29, 17, 4, 7
2020/10/15, 147, 67, 31, 22, 5, 6
2020/10/16, 128, 74, 33, 21, 5, 7
2020/10/17, 142, 68, 35, 17, 5, 5
2020/10/18, 137, 68, 35, 17, 5, 5
2020/10/19, 132, 63, 11, 21, 6, 6
2020/10/20, 121, 70, 30, 21, 7, 7
2020/10/21, 134, 67, 25, 21, 5, 8
2020/10/22, 135, 75, 29, 19, 5, 7
2020/10/23, 149, 69, 29, 16, 5, 5
2020/10/24, 142, 71, 37, 18, 5, 7
2020/10/25, 144, 64, 21, 12, 5, 5
2020/10/26, 130, 84, 31, 19, 5, 9
2020/10/27, 160, 73, 35, 21, 5, 7
2020/10/28, 142, 80, 31, 21, 5, 9
2020/10/29, 154, 78, 30, 21, 5, 9
2020/10/30, 154, 83, 30, 19, 5, 9
2020/10/31, 155, 68, 17, 18, 5, 7
2020/11/1, 132, 60, 37, 17, 6, 7
2020/11/2, 123, 69, 29, 18, 5, 6
2020/11/3, 127, 74, 31, 17, 5, 8
2020/11/4, 142, 74, 32, 19, 5, 8
2020/11/5, 153, 72, 28, 20, 5, 8
2020/11/6, 139, 96, 28, 24, 5, 11
2020/11/7, 169, 89, 36, 23, 5, 11
2020/11/8, 161, 107, 22, 24, 5, 13
2020/11/9, 163, 118, 22, 24, 5, 13
2020/11/10, 175, 82, 17, 19, 4, 9
2020/11/11, 150, 69, 23, 18, 5, 8
2020/11/12, 137, 69, 28, 19, 5, 7
2020/11/13, 139, 84, 30, 18, 5, 10
2020/11/14, 147, 88, 21, 17, 6, 9
2020/11/15, 159, 60, 13, 14, 6, 6
2020/11/16, 127, 58, 44, 16, 5, 6
2020/11/17, 117, 64, 25, 17, 7, 12
2020/11/18, 131, 71, 23, 17, 4, 6
2020/11/19, 138, 72, 20, 18, 4, 6
2020/11/20, 141, 67, 32, 17, 4, 6
2020/11/21, 131, 70, 29, 17, 4, 7
2020/11/22, 134, 70, 47, 19, 5, 8
2020/11/23, 130, 81, 22, 21, 6, 14
2020/11/24, 146, 92, 22, 23, 5, 11
2020/11/25, 157, 77, 26, 15, 4, 8
2020/11/26, 151, 53, 29, 14, 4, 5
2020/11/27, 108, 63, 35, 16, 4, 5
2020/11/28, 125, 65, 37, 19, 5, 6
2020/11/29, 126, 73, 19, 22, 5, 8
2020/11/30, 134, 69, 45, 24, 5, 9
2020/12/1, 136, 78, 19, 22, 5, 8
2020/12/2, 141, 81, 21, 21, 5, 10
2020/12/3, 145, 82, 20, 22, 9, 11
2020/12/4, 146, 92, 22, 21, 5, 11
2020/12/5, 152, 83, 20, 21, 5, 9
2020/12/6, 146, 88, 27, 23, 5, 11
2020/12/7, 150, 91, 45, 19, 5, 11
2020/12/8, 154, 90, 99, 23, 5, 11
2020/12/9, 148, 92, 60, 26, 5, 12
2020/12/10, 155, 89, 20, 25, 6, 14
2020/12/11, 152, 77, 233, 20, 5, 7
2020/12/12, 140, 57, 112, 13, 5, 3
2020/12/13, 113, 59, 52, 15, 5, 4
2020/12/14, 117, 67, 100, 18, 5, 5
2020/12/15, 135, 62, 196, 18, 5, 6
2020/12/16, 124, 66, 70, 20, 7, 5
2020/12/17, 128, 64, 37, 18, 5, 7
2020/12/18, 123, 69, 89, 20, 5, 8
2020/12/19, 129, 76, 86, 23, 5, 10
2020/12/20, 135, 79, 59, 23, 5, 11
2020/12/21, 138, 85, 49, 21, 5, 11
2020/12/22, 148, 84, 71, 20, 5, 9
2020/12/23, 147, 89, 27, 22, 5, 11
2020/12/24, 154, 76, 18, 20, 5, 8
2020/12/25, 149, 70, 22, 20, 5, 8
2020/12/26, 133, 84, 22, 18, 5, 8
2020/12/27, 143, 99, 40, 16, 6, 7
2020/12/28, 139, 80, 22, 14, 4, 5
2020/12/29, 133, 69, 24, 15, 4, 5
2020/12/30, 136, 77, 26, 22, 5, 9
2020/12/31, 149, 88, 22, 21, 4, 13
2021/1/1, 155, 103, 13, 21, 4, 12
2021/1/2, 166, 88, 5, 18, 3, 11
2021/1/3, 158, 54, 22, 13, 6, 9
2020/7/1, 104, 72, 35, 9, 4, 5
2020/7/2, 128, 71, 24, 6, 3, 4
2020/7/3, 128, 58, 32, 6, 3, 4
2020/7/4, 115, 54, 35, 6, 3, 4
2020/7/5, 114, 55, 40, 7, 7, 10
2020/7/6, 107, 54, 17, 5, 6, 4
2020/7/7, 93, 58, 17, 6, 6, 5
2020/7/8, 165, 48, 17, 6, 6, 5
2020/7/9, 197, 55, 19, 5, 6, 3
2020/7/10, 104, 58, 15, 7, 6, 5
2020/7/11, 101, 55, 20, 8, 6, 3
2020/7/12, 97, 56, 26, 8, 7, 9
2020/7/13, 116, 63, 25, 9, 5, 4
2020/7/14, 111, 62, 22, 7, 4, 4
2020/7/15, 124, 59, 12, 6, 4, 4
2020/7/16, 123, 59, 18, 6, 4, 4
2020/7/17, 129, 60, 21, 6, 4, 4
2020/7/18, 133, 58, 16, 6, 5, 4
2020/7/19, 112, 53, 18, 6, 4, 3
2020/7/20, 87, 54, 21, 6, 5, 3
2020/7/21, 92, 54, 22, 7, 4, 3
2020/7/22, 98, 50, 37, 9, 6, 8
2020/7/23, 114, 56, 21, 8, 5, 4
2020/7/24, 113, 54, 18, 7, 4, 4
2020/7/25, 112, 55, 22, 8, 5, 4
2020/7/26, 122, 52, 23, 6, 5, 4
2020/7/27, 97, 49, 22, 6, 4, 3
2020/7/28, 85, 54, 25, 6, 5, 3
2020/7/29, 88, 47, 30, 6, 5, 4
2020/7/30, 83, 50, 17, 6, 5, 4
2020/7/31, 90, 50, 14, 7, 5, 5
2020/8/1, 92, 52, 26, 6, 5, 4
2020/8/2, 90, 46, 17, 5, 5, 4
2020/8/3, 83, 55, 21, 6, 5, 4
2020/8/4, 96, 51, 27, 7, 7, 9
2020/8/5, 89, 50, 16, 5, 5, 4
2020/8/6, 77, 50, 18, 5, 5, 4
2020/8/7, 83, 50, 21, 5, 5, 4
2020/8/8, 83, 46, 26, 5, 5, 4
2020/8/9, 82, 51, 19, 6, 5, 5
2020/8/10, 85, 46, 18, 6, 4, 4
2020/8/11, 78, 51, 21, 5, 5, 4
2020/8/12, 83, 48, 15, 6, 5, 4
2020/8/13, 79, 49, 10, 6, 4, 6
2020/8/14, 81, 48, 9, 6, 5, 5
2020/8/15, 79, 48, 16, 5, 6, 4
2020/8/16, 79, 49, 25, 6, 5, 5
2020/8/17, 87, 45, 19, 4, 6, 8
2020/8/18, 83, 45, 12, 3, 3, 5
2020/8/19, 83, 42, 13, 3, 4, 5
2020/8/20, 78, 42, 17, 4, 8, 4
2020/8/21, 77, 43, 11, 3, 8, 4
2020/8/22, 79, 42, 8, 3, 8, 5
2020/8/23, 77, 37, 28, 3, 9, 9
2020/8/24, 81, 45, 13, 3, 7, 4
2020/8/25, 95, 42, 16, 3, 7, 4
2020/8/26, 93, 50, 15, 4, 8, 5
2020/8/27, 96, 54, 14, 4, 7, 5
2020/8/28, 100, 53, 18, 3, 7, 5
2020/8/29, 100, 49, 9, 3, 8, 4
2020/8/30, 97, 49, 17, 3, 7, 4
2020/8/31, 95, 51, 32, 5, 9, 10
2020/9/1, 93, 54, 15, 7, 5, 5
2020/9/2, 95, 59, 19, 7, 5, 5
2020/9/3, 106, 55, 19, 7, 6, 4
2020/9/4, 103, 55, 16, 8, 5, 5
2020/9/5, 100, 53, 19, 7, 6, 5
2020/9/6, 96, 54, 16, 8, 6, 5
2020/9/7, 100, 53, 15, 8, 6, 6
2020/9/8, 186, 57, 17, 9, 6, 7
2020/9/9, 105, 58, 18, 8, 6, 6
2020/9/10, 104, 60, 20, 8, 4, 6
2020/9/11, 104, 64, 20, 10, 5, 6
2020/9/12, 113, 58, 22, 9, 6, 5
2020/9/13, 112, 55, 29, 8, 4, 6
2020/9/14, 118, 61, 26, 9, 9, 10
2020/9/15, 120, 60, 25, 8, 6, 6
2020/9/16, 116, 57, 14, 7, 8, 6
2020/9/17, 109, 53, 15, 6, 7, 5
2020/9/18, 104, 57, 16, 8, 8, 6
2020/9/19, 108, 61, 26, 8, 8, 7
2020/9/20, 116, 64, 29, 7, 7, 6
2020/9/21, 124, 55, 26, 6, 5, 4
2020/9/22, 108, 57, 24, 6, 5, 3
2020/9/23, 106, 54, 19, 7, 9, 13
2020/9/24, 104, 61, 19, 7, 3, 5
2020/9/25, 116, 55, 11, 7, 5, 4
2020/9/26, 106, 57, 18, 8, 5, 5
2020/9/27, 112, 60, 22, 7, 4, 4
2020/9/28, 108, 64, 28, 7, 4, 6
2020/9/29, 120, 61, 28, 7, 4, 5
2020/9/30, 116, 60, 24, 8, 6, 5
2020/4/1, 65, 29, 21, 8, 9, 4
2020/4/2, 61, 29, 33, 8, 9, 4
2020/4/3, 64, 37, 26, 11, 9, 5
2020/4/4, 68, 47, 33, 12, 9, 6
2020/4/5, 74, 50, 34, 10, 9, 5
2020/4/6, 81, 49, 30, 9, 8, 4
2020/4/7, 72, 43, 29, 9, 8, 4
2020/4/8, 68, 32, 35, 10, 8, 8
2020/4/9, 59, 35, 34, 14, 6, 5
2020/4/10, 68, 44, 34, 10, 6, 4
2020/4/11, 76, 36, 19, 10, 6, 4
2020/4/12, 70, 42, 26, 12, 6, 5
2020/4/13, 74, 42, 27, 12, 5, 4
2020/4/14, 81, 41, 27, 12, 5, 4
2020/4/15, 75, 44, 30, 9, 7, 3
2020/4/16, 76, 41, 30, 9, 6, 3
2020/4/17, 72, 44, 33, 11, 5, 4
2020/4/18, 79, 34, 22, 10, 6, 4
2020/4/19, 66, 30, 14, 14, 6, 5
2020/4/20, 64, 38, 33, 13, 6, 5
2020/4/21, 69, 38, 35, 13, 6, 4
2020/4/22, 67, 37, 29, 10, 5, 3
2020/4/23, 64, 36, 27, 12, 6, 4
2020/4/24, 64, 30, 27, 11, 5, 4
2020/4/25, 59, 35, 32, 11, 5, 4
2020/4/26, 69, 28, 38, 10, 4, 4
2020/4/27, 62, 31, 33, 9, 4, 4
2020/4/28, 64, 38, 24, 11, 5, 4
2020/4/29, 72, 51, 32, 10, 3, 5
2020/4/30, 80, 52, 26, 12, 4, 5
2020/5/1, 88, 46, 34, 9, 4, 4
2020/5/2, 74, 39, 26, 10, 5, 4
2020/5/3, 68, 34, 29, 13, 5, 5
2020/5/4, 66, 29, 40, 11, 4, 4
2020/5/5, 62, 45, 23, 9, 5, 8
2020/5/6, 71, 45, 36, 11, 5, 4
2020/5/7, 81, 57, 33, 13, 5, 5
2020/5/8, 74, 57, 38, 10, 5, 4
2020/5/9, 79, 57, 30, 11, 4, 5
2020/5/10, 74, 57, 25, 13, 7, 5
2020/5/11, 80, 38, 28, 9, 4, 3
2020/5/12, 58, 51, 24, 9, 4, 4
2020/5/13, 74, 59, 27, 10, 6, 4
2020/5/14, 84, 53, 33, 9, 4, 4
2020/5/15, 83, 52, 28, 9, 3, 4
2020/5/16, 83, 53, 38, 11, 3, 4
2020/5/17, 86, 55, 40, 11, 5, 4
2020/5/18, 84, 51, 34, 11, 7, 6
2020/5/19, 78, 55, 37, 10, 6, 4
2020/5/20, 92, 53, 29, 12, 5, 5
2020/5/21, 105, 55, 23, 14, 4, 5
2020/5/22, 109, 63, 29, 8, 5, 3
2020/5/23, 111, 56, 30, 8, 3, 3
2020/5/24, 102, 51, 29, 10, 3, 3
2020/5/25, 99, 53, 45, 7, 8, 13
2020/5/26, 91, 60, 31, 8, 5, 4
2020/5/27, 101, 72, 30, 8, 4, 4
2020/5/28, 115, 55, 39, 9, 4, 4
2020/5/29, 92, 45, 34, 9, 5, 3
2020/5/30, 81, 47, 23, 9, 4, 4
2020/5/31, 81, 49, 28, 10, 4, 4
2020/6/1, 80, 55, 30, 9, 6, 4
2020/6/2, 84, 44, 38, 10, 9, 11
2020/6/3, 83, 48, 29, 9, 4, 5
2020/6/4, 87, 48, 32, 8, 5, 4
2020/6/5, 96, 51, 55, 10, 6, 5
2020/6/6, 108, 54, 30, 11, 6, 5
2020/6/7, 117, 59, 33, 11, 6, 5
2020/6/8, 119, 58, 27, 9, 6, 4
2020/6/9, 116, 63, 26, 9, 7, 3
2020/6/10, 109, 63, 25, 9, 6, 4
2020/6/11, 117, 66, 35, 10, 6, 5
2020/6/12, 125, 64, 19, 11, 7, 6
2020/6/13, 127, 62, 29, 9, 6, 5
2020/6/14, 120, 67, 32, 10, 6, 6
2020/6/15, 126, 58, 58, 10, 11, 11
2020/6/16, 116, 64, 41, 9, 2, 4
2020/6/17, 119, 83, 29, 9, 4, 5
2020/6/18, 136, 76, 26, 8, 5, 5
2020/6/19, 130, 74, 24, 5, 6, 3
2020/6/20, 122, 55, 8, 5, 6, 3
2020/6/21, 110, 57, 28, 7, 5, 6
2020/6/22, 112, 57, 21, 6, 6, 5
2020/6/23, 109, 54, 28, 6, 8, 13
2020/6/24, 96, 63, 19, 6, 4, 6
2020/6/25, 98, 65, 14, 7, 3, 5
2020/6/26, 260, 58, 25, 5, 3, 3
2020/6/27, 86, 67, 16, 5, 4, 2
2020/6/28, 102, 53, 24, 6, 3, 3
2020/6/29, 114, 60, 23, 8, 3, 5
2020/6/30, 115, 58, 40, 7, 3, 4
2020/1/1, 152, 72, 28, 5, 7, 4
2020/1/2, 129, 70, 26, 6, 8, 4
2020/1/3, 116, 63, 22, 9, 7, 4
2020/1/4, 98, 68, 32, 6, 7, 3
2020/1/5, 115, 63, 45, 7, 7, 3
2020/1/6, 103, 67, 22, 7, 9, 6
2020/1/7, 117, 58, 11, 5, 7, 2
2020/1/8, 106, 51, 28, 6, 8, 2
2020/1/9, 77, 56, 34, 6, 9, 2
2020/1/10, 84, 64, 32, 7, 9, 3
2020/1/11, 104, 64, 34, 6, 9, 3
2020/1/12, 105, 68, 24, 7, 8, 3
2020/1/13, 113, 55, 32, 12, 8, 5
2020/1/14, 85, 59, 24, 10, 7, 2
2020/1/15, 99, 59, 18, 7, 5, 2
2020/1/16, 104, 59, 25, 10, 6, 3
2020/1/17, 107, 64, 29, 13, 6, 3
2020/1/18, 127, 64, 33, 8, 6, 3
2020/1/19, 123, 67, 23, 10, 5, 3
2020/1/20, 127, 68, 25, 8, 6, 3
2020/1/21, 151, 64, 33, 8, 7, 5
2020/1/22, 142, 57, 30, 7, 5, 2
2020/1/23, 116, 57, 41, 7, 5, 2
2020/1/24, 114, 67, 35, 9, 4, 3
2020/1/25, 133, 66, 33, 8, 5, 3
2020/1/26, 136, 70, 29, 10, 6, 2
2020/1/27, 144, 68, 20, 7, 6, 2
2020/1/28, 150, 59, 27, 12, 6, 2
2020/1/29, 121, 61, 30, 15, 8, 2
2020/1/30, 123, 63, 31, 18, 7, 2
2020/1/31, 129, 60, 34, 15, 7, 5
2020/2/1, 127, 61, 34, 13, 7, 2
2020/2/2, 127, 63, 35, 17, 7, 2
2020/2/3, 132, 67, 33, 19, 8, 3
2020/2/4, 141, 68, 38, 17, 7, 2
2020/2/5, 147, 66, 35, 18, 6, 2
2020/2/6, 139, 63, 37, 14, 6, 2
2020/2/7, 135, 65, 41, 19, 7, 2
2020/2/8, 146, 65, 41, 22, 7, 3
2020/2/9, 141, 68, 35, 23, 6, 3
2020/2/10, 145, 70, 40, 22, 6, 2
2020/2/11, 146, 71, 43, 26, 8, 14
2020/2/12, 146, 68, 30, 25, 8, 9
2020/2/13, 136, 64, 33, 12, 8, 6
2020/2/14, 123, 61, 34, 20, 9, 3
2020/2/15, 120, 65, 33, 25, 12, 1
2020/2/16, 128, 64, 35, 26, 10, 1
2020/2/17, 128, 63, 30, 22, 9, 2
2020/2/18, 128, 71, 30, 21, 9, 2
2020/2/19, 138, 66, 32, 16, 11, 2
2020/2/20, 137, 59, 12, 11, 11, 2
2020/2/21, 126, 57, 14, 19, 11, 2
2020/2/22, 123, 64, 32, 17, 15, 3
2020/2/23, 133, 62, 37, 17, 13, 8
2020/2/24, 121, 71, 33, 23, 13, 9
2020/2/25, 140, 75, 30, 27, 13, 10
2020/2/26, 142, 75, 29, 21, 13, 10
2020/2/27, 145, 68, 26, 13, 12, 7
2020/2/28, 136, 68, 28, 13, 10, 6
2020/2/29, 127, 59, 28, 12, 12, 5
2020/3/1, 109, 66, 28, 18, 11, 8
2020/3/2, 128, 73, 6, 28, 15, 11
2020/3/3, 145, 65, 32, 16, 11, 10
2020/3/4, 129, 59, 25, 10, 9, 5
2020/3/5, 104, 57, 20, 10, 8, 5
2020/3/6, 102, 59, 24, 12, 7, 5
2020/3/7, 108, 60, 31, 12, 8, 5
2020/3/8, 106, 61, 30, 12, 9, 5
2020/3/9, 108, 63, 33, 13, 10, 5
2020/3/10, 114, 64, 32, 13, 9, 6
2020/3/11, 119, 71, 28, 14, 9, 6
2020/3/12, 118, 80, 29, 15, 10, 5
2020/3/13, 135, 73, 28, 11, 9, 4
2020/3/14, 124, 66, 33, 16, 8, 4
2020/3/15, 121, , , , , 
2020/3/19, 122, 67, 27, 14, 10, 6
2020/3/20, 125, 59, 31, 16, 12, 4
2020/3/21, 108, 61, 36, 15, 12, 4
2020/3/22, 114, 61, 28, 16, 13, 5
2020/3/23, 115, 63, 28, 15, 12, 5
2020/3/24, 118, 63, 24, 13, 12, 4
2020/3/25, 111, 64, 17, 12, 13, 3
2020/3/26, 95, 63, 18, 12, 12, 3
2020/3/27, 97, 50, 23, 12, 9, 3
2020/3/28, 75, 36, 28, 10, 6, 3
2020/3/29, 57, 28, 31, 10, 10, 4
2020/3/30, 60, 32, 22, 10, 10, 5
2020/3/31, 62, 35, 28, 9, 9, 4
2019/10/1, 95, 56, 16, 12, 8, 7
2019/10/2, 97, 51, 22, 17, 6, 8
2019/10/3, 64, 44, 27, 9, 5, 7
2019/10/4, 61, 51, 23, 8, 5, 8
2019/10/5, 64, 58, 27, 6, 5, 7
2019/10/6, 75, 55, 21, 6, 5, 6
2019/10/7, 71, 52, 18, 6, 5, 6
2019/10/8, 67, 56, 31, 6, 6, 6
2019/10/9, 86, 58, 29, 6, 6, 7
2019/10/10, 88, 62, 23, 8, 7, 7
2019/10/11, 105, 64, 19, 10, 8, 8
2019/10/12, 104, 62, 18, 8, 6, 7
2019/10/13, 105, 61, 22, 8, 6, 7
2019/10/14, 106, 70, 29, 7, 5, 7
2019/10/15, 107, 71, 23, 8, 6, 9
2019/10/16, 119, 63, 23, 7, 5, 9
2019/10/17, 111, 63, 18, 6, 9, 6
2019/10/18, 97, 58, 22, 8, 8, 8
2019/10/19, 77, 61, 14, 9, 7, 10
2019/10/20, 90, 60, 25, 11, 7, 8
2019/10/21, 71, 63, 26, 16, 8, 6
2019/10/22, 94, 56, 29, 13, 8, 7
2019/10/23, 95, 68, 29, 11, 7, 7
2019/10/24, 120, 75, 31, 10, 5, 9
2019/10/25, 141, 68, 29, 9, 6, 8
2019/10/26, 128, 73, 31, 9, 7, 9
2019/10/27, 144, 91, 28, 9, 7, 10
2019/10/28, 175, 78, 21, 10, 7, 9
2019/10/29, 172, 58, 19, 9, 6, 8
2019/10/30, 136, 58, 29, 9, 6, 8
2019/10/31, 118, 53, 32, 8, 7, 9
2019/11/1, 102, 85, 33, 8, 7, 11
