date, pm25, pm10, o3, no2, so2, co
2020/4/23, 41, , 45, 7, 2, 5
2020/4/24, 36, , 45, 9, 1, 7
2020/4/25, 60, , 48, 4, 1, 8
2020/4/26, 67, , 46, 5, 1, 8
2020/4/27, 46, , 48, 3, 1, 7
2020/4/28, 31, , 48, 4, 1, 6
2020/4/29, 49, , 51, 8, 1, 6
2020/4/30, 53, , 44, 2, 1, 8
2020/5/1, 59, , 46, 1, 1, 7
2020/5/2, 56, , 49, 1, 1, 8
2020/5/3, 46, , 48, 1, 1, 7
2020/5/4, 37, , 53, 1, 1, 8
2020/5/5, 28, , 56, 3, 1, 7
2020/5/6, 37, , 53, 3, 2, 7
2020/5/7, 45, , 49, 3, 2, 7
2020/5/8, 48, , 49, 2, 1, 7
2020/5/9, 46, , 55, 2, 1, 7
2020/5/10, 50, , 53, 2, 1, 7
2020/5/11, 40, , 56, 2, 1, 7
2020/5/12, 42, , 52, 2, 1, 4
2020/5/13, 39, , 53, 6, 1, 6
2020/5/14, 54, , 46, 7, 1, 8
2020/5/15, 89, , 38, 1, 2, 7
2020/5/16, 33, , 42, 2, 2, 7
2020/5/17, 45, , 42, 3, 2, 8
2020/5/18, 58, , 42, 8, 2, 9
2020/5/19, 88, , 47, 9, 1, 11
2020/5/20, 106, , 42, 9, 2, 12
2020/5/21, 107, , 46, 10, 1, 10
2020/5/22, 116, , 44, 6, 2, 9
2020/5/23, 67, , 46, 5, 2, 9
2020/5/24, 61, 17, 47, 5, 2, 8
2020/5/25, 77, 169, 50, 5, 2, 9
2020/5/26, 70, 142, 43, 6, 2, 9
2020/5/27, 62, , 46, 6, 2, 9
2020/5/28, 74, , 50, 7, 3, 10
2020/5/29, 81, , 47, 5, 2, 8
2020/5/30, 84, 81, 41, 4, 1, 8
2020/5/31, 60, 325, 46, 6, 2, 11
2020/6/1, 65, 19, 47, 6, 2, 11
2020/6/2, 82, 8, 50, 7, 1, 12
2020/6/3, 83, 49, 38, 6, 1, 12
2020/6/4, 81, 24, 43, 6, 2, 12
2020/6/5, 66, 39, 55, 6, 2, 11
2020/6/6, 60, 89, 61, 8, 2, 13
2020/6/7, 85, 40, 37, 9, 2, 13
2020/6/8, 74, 29, 40, 10, 1, 10
2020/6/9, 75, , , 12, , 14
2020/6/10, 104, 26, 37, 6, 2, 11
2020/6/11, 99, 23, 38, 10, 1, 16
2020/6/12, 99, 31, 38, 7, 2, 10
2020/6/13, 78, 33, 40, 6, 3, 10
2020/6/14, 54, 35, 41, 6, 3, 10
2020/6/15, 49, 36, 44, 8, 4, 13
2020/6/16, 99, 35, 45, 12, 2, 13
2020/6/17, 113, 31, 49, 11, 2, 12
2020/6/18, 95, 41, 45, 9, 3, 10
2020/6/19, 103, 43, 48, 6, 3, 9
2020/6/20, 80, 43, 48, 5, 2, 9
2020/6/21, 94, 28, 49, 6, 3, 10
2020/6/22, 67, 22, 42, 5, 2, 12
2020/6/23, 75, 29, 43, 7, 2, 11
2020/6/24, 83, 31, 47, 9, 2, 13
2020/6/25, 92, 35, 44, 6, 2, 17
2020/6/26, 105, 35, 43, 6, 3, 8
2020/6/27, 61, 35, 43, 6, 2, 6
2020/6/28, 80, 21, 47, 7, 2, 9
2020/6/29, 81, 22, 42, 5, 2, 6
2020/6/30, 51, 23, 43, 7, 2, 10
2020/1/1, 91, 21, 15, 5, 4, 7
2020/1/2, 62, 28, 15, 7, 9, 10
2020/1/3, 89, 39, 15, 2, 8, 4
2020/1/4, 81, 28, 15, 2, 4, 6
2020/1/5, 65, 23, 15, 3, 6, 5
2020/1/6, 61, 38, 15, 3, 11, 4
2020/1/7, 107, 52, 15, 7, 14, 5
2020/1/8, 138, 58, 15, 11, 17, 7
2020/1/9, 132, 56, 15, 6, 4, 5
2020/1/10, 115, 59, 15, 10, 7, 7
2020/1/11, 143, 59, 15, 6, 5, 9
2020/1/12, 155, 83, 15, 7, 13, 8
2020/1/13, 169, 86, 15, 16, 17, 16
2020/1/14, 240, 50, 15, 3, 10, 4
2020/1/15, 126, 39, 15, 3, 12, 4
2020/1/16, 103, 44, 15, 3, 11, 4
2020/1/17, 104, 25, 15, 9, 28, 9
2020/1/18, 109, 27, 15, 13, 25, 7
2020/1/19, 118, 47, 15, 18, 17, 9
2020/1/20, 132, 52, 15, 12, 14, 6
2020/1/21, 129, 51, 15, 9, 7, 7
2020/1/22, 118, 66, 15, 10, 15, 9
2020/1/23, 169, 79, 15, 19, 20, 10
2020/1/24, 166, 71, 15, 17, 23, 9
2020/1/25, 201, 65, 15, 10, 6, 9
2020/1/26, 227, 60, 15, 12, 4, 13
2020/1/27, 161, 56, 15, 9, 4, 13
2020/1/28, 162, 55, 15, 9, 3, 10
2020/1/29, 150, 51, 10, 7, 4, 10
2020/1/30, 117, 44, 10, 9, 5, 17
2020/1/31, 140, 44, 10, 6, 7, 9
2020/2/1, 94, 35, 10, 5, 18, 8
2020/2/2, 151, 50, 10, 8, 17, 11
2020/2/3, 141, 52, 10, 8, 18, 11
2020/2/4, 143, 50, 10, 8, 12, 9
2020/2/5, 161, 46, 10, 16, 6, 9
2020/2/6, 114, 47, 10, 4, 6, 6
2020/2/7, 87, 42, 10, 3, 7, 5
2020/2/8, 69, 37, 10, 2, 20, 6
2020/2/9, 76, 52, 10, 6, 20, 6
2020/2/10, 103, 56, 10, 10, 7, 7
2020/2/11, 78, 63, 10, 12, 7, 8
2020/2/12, 94, 70, 10, 12, 18, 10
2020/2/13, 149, 73, 10, 10, 21, 12
2020/2/14, 142, 46, 6, 9, 5, 8
2020/2/15, 108, 42, 7, 7, 14, 9
2020/2/16, 97, 53, 7, 9, 14, 8
2020/2/17, 116, 63, 7, 11, 6, 10
2020/2/18, 107, 69, 4, 7, 12, 6
2020/2/19, 114, 57, 4, 5, 20, 5
2020/2/20, 114, 81, 10, 10, 4, 9
2020/2/21, 100, 47, 7, 4, 6, 13
2020/2/22, 90, 47, 7, 4, 20, 8
2020/2/23, 91, 59, 10, 6, 10, 14
2020/2/24, 70, 47, 20, 6, 8, 16
2020/2/25, 92, 52, 24, 6, 4, 6
2020/2/26, 128, 57, 21, 5, 8, 10
2020/2/27, 142, 43, 20, 7, 17, 13
2020/2/28, 73, 63, 21, 8, 14, 9
2020/2/29, 123, 40, 25, 4, 9, 5
2020/3/1, 115, 53, 22, 9, 18, 10
2020/3/2, 136, 52, 22, 6, 29, 8
2020/3/3, 84, 53, 18, 9, 4, 14
2020/3/4, 74, 29, 24, 7, 1, 9
2020/3/5, 60, 23, 26, 5, 1, 7
2020/3/6, 82, 23, 15, 5, 1, 7
2020/3/7, 87, 24, 18, 3, 3, 6
2020/3/8, 79, 27, 16, 6, 2, 8
2020/3/9, 114, 36, 24, 3, 2, 3
2020/3/10, 108, 35, 32, 5, 3, 4
2020/3/11, 57, 37, 28, 5, 3, 3
2020/3/12, 64, , , 6, 3, 12
2020/3/13, 117, 41, 20, 7, 20, 8
2020/3/14, 116, 41, 23, 5, 14, 3
2020/3/15, 101, 18, 24, 5, 20, 8
2020/3/16, 105, 42, 39, 6, 3, 7
2020/3/17, 113, 4, 61, 5, 2, 6
2020/3/18, 106, 6, 140, 6, 2, 8
2020/3/19, 98, 5, 180, 4, 2, 11
2020/3/20, 99, 3, 99, 4, 2, 12
2020/3/21, 89, 2, 51, 2, 1, 10
2020/3/22, 107, 5, 36, 4, 2, 10
2020/3/23, 83, 3, 46, 1, 2, 2
2020/3/24, 58, 2, 52, , 2, 3
2020/3/25, 59, 2, 57, 1, 3, 3
2020/3/26, 71, 2, 50, , 1, 4
2020/3/27, 88, , , , , 5
2020/3/28, 121, 8, 34, 3, 2, 4
2020/3/29, 76, 54, 42, 6, 1, 5
2020/3/30, 96, 57, 41, 5, 1, 4
2020/3/31, 103, 5, 48, 7, 1, 5
2019/10/4, 88, , , 3, 3, 2
2019/10/5, 44, , , , , 
2019/10/7, 250, , , 14, 2, 5
2019/10/8, 137, , , 16, 1, 4
2019/10/9, 113, , , 15, 1, 5
2019/10/10, 102, , , 3, 2, 4
2019/10/11, 99, , , 5, 2, 4
2019/10/12, 163, , , , , 
2019/10/14, 88, , , 4, 2, 5
2019/10/15, 84, , , 1, 2, 6
2019/10/16, 74, , , 1, 2, 7
2019/10/17, 84, , , 1, 2, 6
2019/10/18, 93, , , 1, 5, 28
2019/10/19, 72, , , , , 
2019/10/21, 78, , , 1, 2, 6
2019/10/22, 95, , , 1, 2, 9
2019/10/23, 110, , , 17, 3, 7
